,Rating,Title,Review,Review_Date
18,4,A decent package for non gamers and everything thing is decent not the best out there,"The media could not be loaded.
                



 Build quality - Rating 7.5 : One of the light weight phones out there and has to say it's quite comfortable for one hand usage and even the material used is polycarbonate but gets the job done but doesn't matter if back cover is there . In terms of styling it's similar to oppo phone but i liked it but won't recommend gray one as it attaches fingerprints but if you are going to use back cover then it doesn't matterDisplay -  Rating 8 : Really good amoled plan and 90hz refresh rate works well wish it could have been 120hz . But the bottom chin is quite thick that is the only thing and yes there is gorilla glass 5 protection and screen guard pre applied too . But the panel on this one is the not the best out there but it's pretty decent as wellPerformance - Rating 9 :Dimensity 900 with ufs 2.2 and lppdr4x Ram gets the job done for regular day to day operations and I didn't played games so can't say but considering this soc is pretty good you can expect 50 fps stable in bgmi and cod . Still I would say this processor is good but competition is offering better so you decide . For me gaming doesn't matter and for next 2 years it can last me easily for normal.usageSoftware- 8.5 : biggest con is Android 11 based on oxygen OS or should I say future color oos 😂 but overall it's quite stable and no bugs as of now but still can't say a lot will have to wait for Android 12 to have better ideaCamera -  Rating 7.5 : 64mp is decent I was atleast expecting samsung sensor though but they provided omnivison sensor which gets the job done but to be Frank I am not into camera that much so better to check other reviews and video stability in 1080p is good and 8mp ultratwide is decent as well . Still the camera is not the best out there again I am saying this because others are offering better but OnePlus managed to give decent thingsBattery -  Rating 9: on 90hz refresh rate with 40 percent brightness and dark mode excluding gaming it gives 7 hrs of sot from 99 to 89 on wifi network and then 89 to 59 on jio network and rest remaining on wifi . So battery for normal tasks can last more than 1.5 day . Charging takes about 30 minutes to charge from 10 percent to 99 which is pretty fastSpeakers -  6: pathetic only single speaker and quality is moderate5g bands - 8 bands so it' is futuristicCall quality - Rating 10 :  it's amazing pretty loud and none of the parties ever complained about my voice that is getting mumbledSo to conclude you can buy this one if you only care for OnePlus and you want to try OnePlus for the first time . I was even getting mi 11 lite ne 5g at same price but rejected it due to miui . So for normal users and those who want a stable software without any ads or notification or bloatwares its good",26 February 2022
19,4,Overall Its good,"Overall, it's a good phone. Sometimes it takes restart",13 September 2022
20,4,Worth to buy,Good phone for normal use with extended battery life and trouble free performance.,06 September 2022
21,4,Too heat in camera,Too heat in camera only 5 to 10 min,03 September 2022
22,4,Decent phone from premium brand,"Not the best in the segment but good enough considering one plus phone.Pros: Awesome display, Smooth performance, Really fast charging( 15 to 100 in 25 min), Decent battery backup, Blue colour looks premium and beautiful.Cons: Camera Good but not the best in the segment, Sound quality average, Not really a gaming phone, No alert slider.",04 September 2022
23,4,Nice product,Nice product  good camera,13 September 2022
24,4,Good smartphone with very good camera.. Cost is little high..Battery mAh should be little high..,Good smartphone with very good camera.. Cost is little high..Battery mAh should be little high..,05 September 2022
25,5,9.5/10,"The media could not be loaded.
                



 To give you a gist of the review, overall, the phone is 9.5/10.I'll talk about the specifics in this detailed review which shall give you the complete detailed aspect of the phone.1. DisplayThe display is quite vibrant. Brightness is great even in sunlight. Watching movies on netflix would be fun for you. Refresh rate of 90Hz works as a charm. Overall you won't find any issues with it.2. Processor & RamI have played quite decent games on it. Have run parallel apps at a single time. Couldn't find any lag in with this processor.3. BatteryYour phone charges from 20-100% in just 32 Mins. This 65 W charges is practically a blessing. I have screen time of around 6 hours. The battery lasts 24 hours very easily.4. CameraI don't use much of the camera but it is quite Okayish. Won't say excellent but will do the work.The front camera is quite good.5. Design & BodyThere is a little chin on the bottom of the phone which does not affect much to me but could have been improved. The back silver metallic finish bothers a lot as it shines like a mirror. Also, you will have small dots on the backpanel surface overtime. A cover can be used to minimise this effect. The only reason I reduced 0.5 in my rating is the back panel of the cellphone.6. Operating SystemLoved the operating System, pretty smooth, aesthetically pleasant, charm for your eyes.Overall this phone is a gem. You can always go for it.",16 September 2022
26,4,Value for money,One of the best phone from Nord series of oneplus...,10 September 2022
27,4,Price matter,At this price it is best phone.,02 September 2022
28,4,Good,Cameras are not good.Except Cameras everything was good.,02 September 2022
29,4,Charger is good,"Charger is very good,but camera and features are average, all over the average phone.",09 September 2022
30,4,"Camera not that good , rest all is good.","Camera not that good , rest all is good.",14 September 2022
31,4,Good to use,Over all okay 👍,05 September 2022
32,4,Heating problem,After use online video 3 to 4 hours heating lots,18 September 2022
33,4,Fabulous battery and super fast charging,"Liked everything at this price level best betCamera can be better, sometimes you get artificial blue faces , still a good one at this price level",08 September 2022
34,4,All over is good but camera quality is not good and flash is also not good.,All over is good but camera quality is not good and flash is also not good.,02 September 2022
35,4,Good phone,Go for it.,14 September 2022
36,4,.,Good,07 September 2022
37,4,Super,Super,07 September 2022
38,4,Overall Good,Good,14 September 2022
39,4,Good,Good,09 September 2022
40,4,Not bad,Good,07 September 2022
41,4,Best Budget Mobile,I have been using this mobile from last 5 months i would say this is best budget phone in 25K. The best and important features of this 65W changer you don't need to worry about charging your mobile it's like blink and you will find your mobile charged in 30 minutes of time.,28 August 2022
42,4,Nice,Nice,10 September 2022
43,4,Good 👍,,10 September 2022
44,4,Overall it's a good buying,Overall it's a great product.display is the main attraction.battery life is good u will get 1 day life on moderate usage.there is a mild heating on continues usage.65 watt charger is doing an great job. Camera is good but not great,30 August 2022
45,4,Good,Awesome,14 September 2022
46,4,Good phone,"Battery backup is low,but fingerprint super",12 September 2022
47,4,Nice product,,03 September 2022
48,4,Overall Experience After 4 Months,Camera - 6/10Battery Life - 7/10Processor - 10/10Touch- 10/10Display- 9/10,03 September 2022
49,4,Good mobile,Good mobile,30 August 2022
50,4,50 50 product,Not bad,02 September 2022
51,4,Excellent product.,Excellent mobile.,01 September 2022
52,4,Best phone in India,I like this phone,02 September 2022
53,4,"Only 2 week's now,So far so good, but Alexa not that much satisfactory","Only 2 week's now,So far so good, but Alexa not that much satisfactory",28 August 2022
54,4,Just okay,Average,02 September 2022
55,4,Over its great for daily usage and camera is amazing .,"Plus points: display, battery, processer, 5g",31 August 2022
56,4,Battery performance,Battery consumption is very fast,30 August 2022
57,4,Gud phone,Gud phone,04 September 2022
58,4,Slim and stylish,Case cover qualiy was poor,30 August 2022
59,4,Overall good item,Camera quality could be much better,02 September 2022
60,4,Decent phone,"Bought this phone at 22K inr. So consider this price for my review.Camera is hit and miss. Sometime it takes amazing shot, sometimes it just fumbles.EIS with 1080p60 is amazing. You will capture more videos than expected.UI: Coming from MIUI. Its very easy for me to say Oxygen OS is amazing. No debate in thatBattery: Amazing, will change how you use your phone. 15 minute is enough for 4 hours of use. It gives so peace of mind, once you tried it you wont be able to live without it.FP sensor is okay not as snappy as side or rear one but still work fine. You wont notice it.Feel: Super Slippery buy a rugged case immediately. Amazing to look at like. But feels delicate.Price: for 22K its a steal. For original price add little more to get Nord 2T, Poco F4, Nothing phone(1) all these phone are affordable flagship.This phone is just a mid-range phone and should cost 22K for 25 you are better off with spending little more and get those above mentioned phones.",07 July 2022
61,4,Superfast charging,Best phone on this price range,25 August 2022
62,4,Mst thanks Amazon,Betri and cemra,03 September 2022
63,4,Everything is good except camera quality,"Camera quality not good , finger print is best and battery excellent performance",03 September 2022
64,4,Good,Good,31 August 2022
65,4,"Good product,but not excellent ok product",Battery life good for first 6month after software upgrade battery drain very speed.Fast charger working good.camera quality 👍,25 August 2022
66,4,Good phone under 25k,Phone is good . Everything is good . There should be 4K 60fps video recording .,04 September 2022
67,4,Good quality,Phone is really good as compare to other phone at this price range,03 September 2022
68,4,Front camera,The front camera is not much good,28 August 2022
69,4,Value for money but if you buy this around 20k,"Camera and battery could be better, Android 11 was good enough, Android 12 is not that much good, coz of battry consumption or in 12 ,OnePlus removed some good features and added themes and many more unuseful features",25 August 2022
70,4,great,great,01 September 2022
71,4,Poor battery,"Very poor battery backup.uopn continuous using mobile phone, battery dying within 4-5 hours.",03 September 2022
72,5,Battery Backup 🌟🌟🌟🌟🌟,I am giving this review because I have not had any problem with this phone till now.i have been using this phone for 2 monthsand there is no problem in running it.And I will thank the courier boy of amazon who delivered me ahead of time and the box opened in front of me.Thanks to Amazon & one plus⭐⭐⭐⭐🌟battery backup:-5/⭐⭐⭐⭐⭐fingerprint reader:-5/⭐⭐⭐⭐⭐camera quality:-5/⭐⭐⭐⭐⭐,18 September 2022
73,4,Good Quality Product.,Very Quickly Charging. Good Quality Camera Images. Very simply Used.,04 September 2022
74,4,Mobile performance is very good,Mobile performance is good but Bluetooth connect my earbuds same time different different connect please solve this problem,23 August 2022
75,4,Good Product,"Display ok ok, battery life very good, fast charging, Back camera so good but front camera not good.go for it.",23 August 2022
76,4,Super,Camera is good. Light weight and slim phone. Comfortable in hand. Overall nice budget phone.,22 August 2022
77,4,Fingerprint not working,Good,29 August 2022
78,5,Awesome choice to upgrade yourselves.,Pehle sab mujhe ignore karte theeee.....Fir mene oneplus ka mobile le liyaaaa......🤣🤣Best part of it is I didn't had to worry about Android 11 anymore as I got updated to Android 12 in very first month. Performance is cool. Look is cool. Camera is cool. Gaming is cool. You will get fulfilled on very first update. Means dude what else you need. Attractive choice👌👌👌👌,15 September 2022
79,4,Good,Good,28 August 2022
80,4,Fantastic,Overall the performance is good,22 August 2022
81,4,Good Quality Phone,1st Day Gate A Update for Android 12,26 August 2022
82,4,Overall okay but it can't beat camera quality of oppo,"Biggest mistake was to order at Amazon. I myself went at Amazon depot to receive it because delivery boy was not ready to come at 6 pm. Return is most complicated in Amazon. They fixed appointment with technician yesterday and there is no call till now. Flipkart is best to handle quality issues...Amazon broke my trust this time...it's okay for shopping upto 500/-.Camera quality is average. Battery is 4500 only but good thing is charging is very fast. Back cover provided by oneplus is white coloured which masks the appearance of mobile.Moreover, i will use it not more than 6 months due to Camera quality.....which is a little disappointing if you have used Oppo..",19 July 2022
83,4,Good,Good,25 August 2022
84,4,decent,,24 August 2022
85,4,Best quality,Very good mobile for using offical work,16 August 2022
86,4,Very nice,,22 August 2022
87,4,Good Display. Updated to Android 12. Reviewing the phone. Update soon,Will update the review soon.. posting some photos by the Nord ve 2 cam. Shot on pro mode.,12 August 2022
88,4,Good decent phone.,This phone is a perfect phone for a person who is normal user and want a good phone under 25k .DESIGN:-7.5BATTERY:-8CAMERA:-6PERFORMANCE:-7.5,12 August 2022
89,4,A total balanced phone,It's a total balanced phoneIt has a good camera1 day battery lifeQuick responseGood gamingBloatware free OSGREAT 1+ BRAND VALUEIf you want a complete package you can buy this phone,11 August 2022
90,4,Not Good Not Bad,Mobile is like lottery you can get best and defective pieces. Camera suprised me i had seen many reviews degrading camera but for me it was good. Battery power charging is amazing in no time battery gets charged but battery life may not survive a day also. Hanging issue I have noticed after usage of 3 months and i don't play games. Feeling and look is good. Call recording other will be informed if you will be recording. Compass not available. VR feature also not available.,26 July 2022
91,4,Bateri bacup not ok,"The media could not be loaded.
                



 बैटरी लाइफ वेरी वेरी पुअर",08 September 2022
92,4,Valueable phone under 25k,"Finger print sensor is too fast, battery back up are not up to the mark, battery lasts at 20-24 hour for mild use not for heavy use.Camera quality is best, it beautifully captures nature scenery even in night without night mode.Looks are awesome, it feels premium in hand with glass appearance.Overall ,it is a best phone in this price segment.If looks and camera are your priority then, must go for it.",30 July 2022
93,4,Good phone,Awesome battery lifeExtremely fast chargingGood camera qualityOverall a good deal in this price range,18 August 2022
94,4,"GO FOR THE 8GB RAM "" MIRROR GRAY ""COLOR 🔥🔥 And","The media could not be loaded.
                



 Display super smoth 90hz with 8gb ram and Looks are excellent and brand value,Camera is decent little bit more contrasty and stabilization is excellent only EIS.  (NO SCAM OR FAKE PRODUCT OR DEFECTIVE ON MY CASE) you must know the new policy of packaging. Do Not accept mobile if package is broken or there is any tape on package and u must record ur UNBOXING VIDEO for PROOF",14 August 2022
95,4,Gud,Price segment gud phone,17 August 2022
96,4,ফোন টা দেখতে বেশ ভালোই,"দেখতে বেশ ভালো। ফটোও বেশ ভালো ওঠে, তবে ফোন করতে মাঝে মাঝে সমস্যা হয়, wifi calling এর কিছু একটা সমস্যা।",14 August 2022
97,4,Waist of money phone,"Camera quality nit good, look like Chanies phones",19 August 2022
98,4,Charging problem is major problem,"Fast charging, very very fast discharge.Else other camera & other performance is good",20 August 2022
99,4,Not worth for money,Camera quality poor,18 August 2022
100,4,Device specs,Phone is very nice but still some minor features is not there I think it's may be Android versions 12 issue.,20 August 2022
101,4,Budget phone,Good phone with required features with a trust of OnePlus brand,15 August 2022
102,4,Camera quality is not as expected,Poor camera quality so not satisfiedExcept camera Avery thing is very good qualitative,21 August 2022
103,4,Very nice,All brand compared it is best but not on iphone leval,16 August 2022
104,4,Battery,Battery life is ok Only one day using Charge bown,27 August 2022
105,4,Phone to accha hai lakin,Phone to accha hai lakin,24 August 2022
106,4,Phone is good,Camera quality is good but battery is average.,24 August 2022
107,4,For Average budget good phone,I like this phone...,20 August 2022
108,4,Product is ok.,Mobile is light weight.but the camera quality need to improve. Overall product is ok.,17 August 2022
109,4,NOT UPTO THE MARK,SCREEN IS NOT SO SATISFYING,17 August 2022
110,4,Phone is good...worthy for the price.camera quality is bit bad,"Except camera quality,phone is good in price range",16 August 2022
111,4,Camera,Good phone with great charging time. Only thing i didnt like is the camera in low light its really bad. During day time its good.Apart from the camera im loving everything else from the phone,12 August 2022
112,4,Nice phone,"Phone is nice, worthable to buy.",16 August 2022
113,4,After few months,"At this price nice phone 📱,but one things not given as a one plus phone alert sider not given.",18 August 2022
114,4,Amazing phone but a little expensive!,Nice phone on this price range. Go for it!,25 August 2022
115,4,Midrange flagship,Good product,23 August 2022
116,4,Value of money....,,20 August 2022
117,4,Battery drain very fast,Haevy user it's not for you because battery 🔋 draining very fast.Also Alexa not working properly,22 August 2022
118,4,Nice,,19 August 2022
119,4,It's very handy and easier n simple to use any hassle free...n looks Vee nice,"All features are quite good well designed , camer quality and selfie camera is really good. The rest still not used for long time, after few days will come to know how really it works.",20 August 2022
120,4,Overall Good package in this price,,19 August 2022
121,4,Above average,Liked it,25 August 2022
122,4,Under 25000 best Phone,Awesome and good looking,12 August 2022
123,4,"Good phone under budget. Seems like color OS, rather than oxygen OS. And slow software updates","Good phone under budget. Seems like color OS, rather than",19 August 2022
124,4,Good,Phone is good,15 August 2022
125,4,One Plus mobile performance is good,"One Plus mobile performance is good, i used almost one months and result is good battery life also OK",07 August 2022
126,4,Good,Good,13 August 2022
127,4,Good,Good but was expecting more,14 August 2022
128,4,Camera bad,Camera worst,16 August 2022
129,5,Just a Great Super Camera Mobile,"Great Camera, Image processing even when zoomed max. Big lences make ligh go in with great pictures. Super Battery life and Super fast Charging. Looks even great with reflective back. Great Screen with good screen brightness good in sharp sun.Great phone to buy at 25k.",10 September 2022
130,4,Worth for money,Worth for money. Speed is good,09 August 2022
131,4,Worth for money,Nice mobile,18 August 2022
132,4,Nice phone,Nice phone . timely delivered by Amazon ..but there is no discount by Amazon on this phone...,29 August 2022
133,4,Average one,Not so good like. It can be better,15 August 2022
134,4,Good Phone ...You can definitely buy .,Good Purchase ..Super Fast Charging and battery life is also good .Plus the UI interface is also clean .I am using this phone for the past one month and not yet faced any issue 🙂 .No heating issue ..Camera could have been better but it's ok.,28 July 2022
135,4,Overall good,Overall good phone..but battery backup may be issue for heavy user..,12 August 2022
136,4,Good phone,Nice phone,15 August 2022
137,3,Not much happy with this mobile,"I don't know why! Maybe because I'm an iphone user! I broke my iphone and need to buy a temporary phone, so i bought this mobile. It's okay a bit, but main problem is when I'm calling!While calling the screen automatically touches with my ear and it mutes the call everytime. In this case i have to come out of the call screen, then only it doesn't get muted with my ear touching the screen. Or i need to use Bluetooth headset. I never faced these issues on my iphone.",10 September 2022
138,4,Best mid range premium phone.,The phone is good but some time having heating issue.,27 August 2022
139,4,quality built,"The phone quality is good the main drawback is brightness,you always have to keep it higher",20 August 2022
140,4,Very good product,"The media could not be loaded.
                



 Very low quality, finger print good ,and battery performance ok",09 September 2022
141,4,Need Help,Lost this mobile today in my college.. My mobile internet was off.. how can I try to find it,08 August 2022
142,4,I love it.,In this range mobile is best.Mobile display is the bestest 😉 in Amoled display etc,05 August 2022
143,4,I think best phone under 25000,"I bought it for my father, who is an average user with only using phone for calling, reading news, watching youtube, messaging..Just common stuff.Not gaming.So I opted this over Samsung(Which was the priority;A52s) because this has an headphone jack, good speaker,90 hz oled screen, clean and smooth software and good processor.(Same features in A52s but 6000 cheaper).And he didn't even have a complaint till now.So I am summarizingPros:Excellent Screen-90 Hz oledGood & Clean software-Oxygen OS 11Loud speaker- Eventhough monoSuper Fast charging-65 WAbove average battery performanceGood processing-Dimensity 900Better Haptics than SamsungCons:Below average camera-Eventhough the outcome is very sharp and detailed, the colouring and skin tone is very bad.Need big improvements through software update.If your first priority is camera look for samsung,10x better photos and dynamic rangeSo consider all this I have mentioned before buying.",10 June 2022
144,4,Excellent,Great product from OnePlus it is not meant for the heavy user but works excellent in performing day to day task . Camera quality is also good n the design of phone is also sleek and if u get fed up using samsung phone n want to switch to other brand I think one plus is far good option to go with only the thing I don't lyk is it comes wid Android 11 but at this price range many companies are giving 12 but we can ignore this thing too n comparing this wid moto edge 30 still I can say OnePlus works better.,24 June 2022
145,3,"Batter than others, but this smartphone's features could be more than what we got","Face unlock is not working so that fast, as i have redmi note 10s also, but at same lighting conditions redmi can unlock phone fastly and securely, there is many problem with nord ce2 for face unlockLag in bgmi( tested before ban), some network drop problem faced,Positive points- back of smartphone is fantastic with some kind of mirror and gray which is a next level of technology ,Display quality is absolutely fine,Heating is there but it could be negligibleOver-all smartphone experience is quite fine 👍",13 September 2022
146,4,👍,👍,21 August 2022
147,4,Light weight Phones,"This phone is very easy to carry and light weight, but only problem is phone gets heated little bit even for intermediate usage.",02 August 2022
148,5,Very Good Phone...I liked it very much.,"I Liked this phone very much.Its very smooth to use and also camera quality is good as well as fingerprint sensor,very stylish and premium look from the back.Overall I recommend one to purchase this phone of OnePlus.",18 September 2022
149,4,Oneplus ce2 Not  quality,Camera quality is badNo battery life,08 August 2022
150,4,Best,Osm mobile,19 August 2022
151,4,Great buy if you want a OnePlus brand for this price,"Decent phone. Amazing battery. Average camera. Very light weighted and amazing to hold. Looks elegant (for the price range). Great screen quality. Average speakers. Fast and accurate face id but slow fingerprint reader. Comes with 3.5mm jack. Go for the blue colour, grey looks ugly.",09 August 2022
152,4,One plus Nord ce2 5g,"Great battery life, fast charging is also very good but I'm little bit disappointed with camera quality is not OnePlus qualityAnd Little bit heating issue is also thereBut good quality phone",25 July 2022
153,4,Worth for Money,Writing this Review after one month of Usage: The Performance was Extremely Good at this Price Range. Brand Value Speaks. Camera quality equals to Iphone. Battery life was little bit Disappointing but we have Ultra Fast 65W Charging it may take just 15 mins to get full charge! Remaining everything was Perfect!,17 July 2022
154,4,"Little bit of hanging issues..,overall 3.5star","The media could not be loaded.
                



 Dislike , hanging issuesIf you can't provide a better product you should never launchYou should keep the price tight ...Don't try too launch your self in every segmentYou are good at 35k + range be in that manMy badluck",14 August 2022
155,4,It's been 2months with this product... Am happy with this model..,Battery life plays a vital role and it's worth for money... Camera and display quality is Good... everyone knows that Always one plus is good for display. Thanks for Amazon and oneplus,13 August 2022
156,4,Good choice in this price range,"Phone has decent basic features when we talk of camera,battery, charging,display.However it lags even if 8gb RAM. But can go for it in this price range.",27 July 2022
157,4,"Very nice but battery must be upgraded,even in new set, battery discharges it's bigger problem..","I like it's screen and clearity, and most dislike is battery. Even in new set it discharges very fast.",31 July 2022
158,3,Except camera everything is good,"I liked the look, headphone jack, speed charging, smooth processor.. camera quality is not up to the mark. But i don't use camera at all, i saw the reviews about bad camera before purchasing but anyways decided to buy it because i wanted a phone with headset jack.. anyways I'm happy with the phone but will not recommend anyone as there are other phones within the same price range that has better specs..",08 September 2022
159,4,Phone,It's a very good budget phone.You get every thing which is needed for making it work through now a day technologySome features are wack but yaa out of 100 i would give this phone a good 81,20 July 2022
160,4,Owesom mobile,owesom mobile fast charge . look like beautiful,13 August 2022
161,4,Not bad,Its a good device cemara clarity good and battery performance is good light wait every thing is not bad hear voice is not clear,27 July 2022
162,4,The phone performance in very good 👍👍👍,"The phone performance in very good 👍👍👍 but battery performance is ok ok not very good ,,,but one thing the charging is very fast around 34 min 0 to 100%👍👍👍Over all a good phone not very good 📱",23 July 2022
163,4,DISAPPOINTED WITH CAMERA QUALITY,I am not satisfied with camera quality. so poor camera quality . I only purchase this mobile for camera quality. but this mobile's camera Is bad.  I am very disappointed with this mobile phone.,14 August 2022
164,5,Best in budget Phone range - Awesome Camera,"Reviewing after 6 month of use.Battery backup - GoodRefresh rate - BestCamera - After update superNo heat issue, everything looks good.Best buy at this price",18 September 2022
165,5,Horrible,"It's a horrible experience, after three months now every now n then some of the app stops working it's not opening and customer support couldn't do anything suggest to visit service centre, what a fun!",12 September 2022
166,4,Nice product. But issues in Ring volume.,"Camera, Battery life etc is good. It charges very fast. The back key and toggle function aren't great though. Also wish there was Lasso function in the photo edit.",04 August 2022
167,4,Good Phone with this price.,"This is for the people who want to go with a stable brand.If you want to buy iPhone 11 but due to budget constraints you are not able to buy then this is the phone which is handy to use does all the necessary work, and captures great images. The looks are awesome but the plastic back panel disappointing it could be glass. The good thing is you get one plus stickers and a plastic back cover with damage protection (the design of the back cover in a way that it protects your mobile glass from the damage the corners are edgy) so you don't need to buy it with extra cost. Just go for it I bought it for 23999. Very smooth and slick handset. It's not grey...complete mirror but with a black tone. silver you can consider. light weight.",31 May 2022
168,4,👍,Great mobile with affordable price....,13 August 2022
169,4,So Nice Good Quality,Super,17 August 2022
170,4,Not really satisfying,Could have had even more features at this costNot the best smartphone at this price and time,08 August 2022
171,5,Overall is good but battery life is not good,Phone is goodCamera is goodBattery life not so much goodPerformance bis goodFeature is goodSpeed is goodFrequently update is also good,19 September 2022
172,5,Working fine till now.,"I'm using mobile phone from last 3 weeks, bettry back up is good, charging fast with in 30 minutes, No problem found till now.",14 September 2022
173,3,Honest review after 6 months,Phone was too good when it was new..Cons..1. Getting hanged while using 6 months2.my photos automatically got deleted dont know why ;'!:!?!?!_?3.camera quality getting down day by day.4. After updating software many features are useless.5.Good things.1 photos in outdoor and in good light are very good specially in portrait mode.2. Battery charging is amazing ..you never feel when its charging 15 minutes are enough for the day.3. Good touch .4. Sound quality is awesome5 camera is ok6. Fingerprint sensor is awesomeOverall is all good but not happy on performance because i use trading apps and its get crushed app while switching to another app,21 August 2022
174,4,Good,Excellent performance,12 August 2022
175,4,Outstanding superb!!,Outstanding!!,13 August 2022
176,4,Camera,Camera quality is good,30 July 2022
177,4,Good,It is fine to buy for a causal person...Am not sure how it works if we play more online games,26 July 2022
178,5,Easy to use.,"The best part is, it's light & handy. OS is user friendly. Overall it's a pretty good phone under one plus umbrella.",13 September 2022
179,5,Best one plus mobile in this price range,Just go for it guys u won't regret it don't think about camera it's wonderful and fast charger is so fast it last upto a day performance once charged,10 September 2022
180,4,Overall good except battery performance,Battery is pretty much poor and average performance,28 July 2022
181,4,Good,Good,11 August 2022
182,3,Average Phone. So keep average expectations.,"Writing the reviews after 3 days of UsageDesign: Phone's design is good looking and decent. The phone sits well in the hands but has to be used with a cover due to its glossy finish at the back. The phone comes with a cover and the screen cover as well. There is one speaker besides the charging point and there's a 3.5mm jack as well. Volume buttons are to the left side and the front camera is placed at the top left corner of the phone.Performance: Good performance. I tried gaming on this phone with high specs and found no issues, no major lags found. Yeah the phone heats up a bit after continuous usage. Continuous calls will heat the phone as well. Heating issues reported on other OnePlus devices are still being noticed here in this phone but not to thay extent, seems that OnePlus has worked on it but not to a greater extent! Apps work smoothly as far as performance is concerned. Unlocking phone is quick. Android 12 could have made this phone a perfect buy, but that's not a deal breaker either as OnePlus has promised a guaranteed 2 year Phone updates and 3 years security updates.Battery: Okayish. If you're a gamer or heavy user like viewing lot of videos etc, you'll have to charge your phone twice a day. For a Average user this phone will get 1 day enough to survive. Battery drains are worked but again not to a great extent. But that is coped up with the 65W charger which as per my real time experiments charged from 0 to 80 in 25 mins not 15 mins claimed by OnePlus. Battey improvements must be done by OnePlus further.Camera: Decent, but not impressive. 64MP is what on the papers but realme sensors work good versus this Phone. Night photos are not sharp as well. Colors are thrown by the AI but still would like to have improvements on the camera perspective. Definitely not the OnePlus benchmark cams for sure.Music, Audio, Video, Display: The speakers are not dobly ones but do the job wonderfully. Enough sound and no issues with video calls. Watching videos and graphics are good, impressed here. Phone will give you two options of 60 hz and 90 hz display rates with 90 as default and this too does the job very well. Scrolling and switching between the apps works smooth.Overall its a decent phone. The issue stands with longetivity of the Mediatek Processor and OnePlus support to this phone. As per my views if you're a gamer, would suggest not to go with this phone. If you're a normal user and charging phone twice a day is not a concern for you, go for it. If you are user having expectations from camera performance, don't go with this phone. If you're a user who wants decent performance and camera, then go for this phone.Will update my reviews ad and when I keep using this phone and find anything.",28 February 2022
